lock;threads;num_locks;cs_work;read_pct;total_ops;read_ops;write_ops;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
tas;1;64;0;80;301358600;0;301358600;100445081;9,95569;0;0;1
tas;2;64;0;80;104190179;0;104190179;34726740;28,7963;41343236;62846943;0,65784
tas;4;64;0;80;102549087;0;102549087;34178269;29,2584;22046124;30360490;0,726145
tas;8;64;0;80;212827327;0;212827327;70926896;14,099;19134395;34246752;0,558721
tas;16;64;0;80;287309182;0;287309182;95734454;10,4456;13808107;22223037;0,621342
tas;32;64;0;80;337585584;0;337585584;112465656;8,8916;5593344;16998871;0,329042
tas;48;64;0;80;292838669;0;292838669;97530361;10,2532;4698960;7503624;0,626225
ttas;1;64;0;80;297539560;0;297539560;99172025;10,0835;0;0;1
ttas;2;64;0;80;142161364;0;142161364;47382735;21,1047;67832549;74328815;0,912601
ttas;4;64;0;80;116246744;0;116246744;38744120;25,8104;21568579;34182914;0,630975
ttas;8;64;0;80;128554937;0;128554937;42842304;23,3414;15862388;16316004;0,972198
ttas;16;64;0;80;153363495;0;153363495;51101891;19,5687;8828203;10332044;0,854449
ttas;32;64;0;80;188244895;0;188244895;62711914;15,9459;4586495;7255841;0,632111
ttas;48;64;0;80;227891301;0;227891301;75904831;13,1744;4028998;5446115;0,739793
cas;1;64;0;80;290767755;0;290767755;96914779;10,3183;0;0;1
cas;2;64;0;80;146668651;0;146668651;48884649;20,4563;70745645;75923006;0,931808
cas;4;64;0;80;103427044;0;103427044;34471627;29,0094;20019378;29135057;0,687123
cas;8;64;0;80;204689810;0;204689810;68215067;14,6595;21505749;29768247;0,722439
cas;16;64;0;80;299731501;0;299731501;99876384;10,0124;14037009;23654406;0,59342
cas;32;64;0;80;336967278;0;336967278;112265028;8,90749;6959289;14681137;0,474029
cas;48;64;0;80;331309076;0;331309076;110344869;9,0625;5365988;8437021;0,636005
ticket;1;64;0;80;293350598;0;293350598;97775623;10,2275;0;0;1
