lock;workload;threads;cs_work;read_pct;total_ops;read_ops;write_ops;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
tas;mutex;1;0;100;350233101;0;350233101;116735471;8,56638;0;0;1
tas;mutex;2;0;100;75130373;0;75130373;25041086;39,9344;18696738;56433635;0,331305
tas;mutex;4;0;100;18833822;0;18833822;6277092;159,309;3181666;6555273;0,48536
tas;mutex;8;0;100;7105372;0;7105372;2367926;422,31;629747;1140746;0,552048
ttas;mutex;1;0;100;347803809;0;347803809;115925836;8,6262;0;0;1
ttas;mutex;2;0;100;71462018;0;71462018;23818273;41,9846;33166802;38295216;0,866082
ttas;mutex;4;0;100;20773268;0;20773268;6923676;144,432;3125845;6663411;0,469106
ttas;mutex;8;0;100;12336845;0;12336845;4111464;243,222;988251;2531157;0,390434
cas;mutex;1;0;100;349616799;0;349616799;116529304;8,58153;0;0;1
cas;mutex;2;0;100;69483258;0;69483258;23159109;43,1796;33724910;35758348;0,943134
cas;mutex;4;0;100;20531898;0;20531898;6843054;146,134;3701013;7428533;0,498216
cas;mutex;8;0;100;12357990;0;12357990;4118409;242,812;1009939;2253146;0,448235
ticket;mutex;1;0;100;380955001;0;380955001;126975309;7,87555;0;0;1
ticket;mutex;2;0;100;26909758;0;26909758;8969142;111,493;13454836;13454922;0,999994
ticket;mutex;4;0;100;8228150;0;8228150;2742383;364,646;2054223;2061417;0,99651
ticket;mutex;8;0;100;6655655;0;6655655;2218065;450,843;830658;833332;0,996791
rw;mutex;1;0;100;349064310;0;349064310;116346015;8,59505;0;0;1
rw;mutex;2;0;100;70593758;0;70593758;23529226;42,5003;34308131;36285627;0,945502
rw;mutex;4;0;100;15156984;0;15156984;5051761;197,951;3701907;3844158;0,962996
rw;mutex;8;0;100;8191441;0;8191441;2729913;366,312;677158;1396176;0,485009
occ;mutex;1;0;100;194387167;0;194387167;64790828;15,4343;0;0;1
occ;mutex;2;0;100;41406644;0;41406644;13800955;72,4588;19025532;22381112;0,850071
occ;mutex;4;0;100;18719641;0;18719641;6239204;160,277;1868601;13003798;0,143697
occ;mutex;8;0;100;9300450;0;9300450;3099492;322,634;897444;1436414;0,624781
rw;rw;1;0;80;156194741;124959599;31235142;52060881;19,2083;0;0;1
rw;rw;2;0;80;25512620;20408937;5103683;8503471;117,599;12741612;12771008;0,997698
rw;rw;4;0;80;8967319;7172206;1795113;2988702;334,593;1852969;2539423;0,729681
rw;rw;8;0;80;6446856;5156911;1289945;2148464;465,449;551942;1068220;0,516693
occ;rw;1;0;80;238255516;190604330;47651186;79412537;12,5925;0;0;1
occ;rw;2;0;80;57933046;46345307;11587739;19309178;51,7888;26817101;31115945;0,861844
occ;rw;4;0;80;17242497;13793931;3448566;5746766;174,011;3740838;5041564;0,742
occ;rw;8;0;80;14984271;11985446;2998825;4993512;200,26;1666278;2313983;0,720091
rw;rw;1;0;95;148280129;140864915;7415214;49422693;20,2336;0;0;1
rw;rw;2;0;95;13456121;12784022;672099;4484880;222,971;4791506;8664615;0,552997
rw;rw;4;0;95;12003174;11401008;602166;4000609;249,962;1621735;5233220;0,309892
rw;rw;8;0;95;9369439;8899584;469855;3122400;320,266;885615;1447359;0,611883
occ;rw;1;0;95;299388990;284422658;14966332;99788656;10,0212;0;0;1
occ;rw;2;0;95;51468656;48896798;2571858;17154385;58,2941;14864697;36603959;0,406095
occ;rw;4;0;95;49823957;47333493;2490464;16606023;60,2191;6647328;16228606;0,409606
occ;rw;8;0;95;38286447;36372424;1914023;12759393;78,3736;3750876;6910871;0,54275
rcu;rcu;1;0;90;256261687;230637477;25624210;85415612;11,7075;0;0;1
rcu;rcu;2;0;90;61534673;55379395;6155278;20510289;48,756;30394851;31139822;0,976077
rcu;rcu;4;0;90;20586957;18527426;2059531;6861811;145,734;4948373;5525999;0,895471
rcu;rcu;8;0;90;21840013;19656566;2183447;7279087;137,38;2560999;3500575;0,731594
ttas;mutex;4;0;100;50250304;0;50250304;16747939;59,7088;1756290;39799775;0,0441281
ttas;mutex;4;50;100;9914869;0;9914869;3304580;302,61;657828;3424131;0,192115
ttas;mutex;4;100;100;7953465;0;7953465;2650777;377,248;743743;2426520;0,306506
ttas;mutex;4;500;100;6011192;0;6011192;2003476;499,132;593344;2781697;0,213303
ttas;mutex;4;1000;100;5852964;0;5852964;1950749;512,624;483980;2976271;0,162613
ttas;mutex;4;5000;100;1655664;0;1655664;551815;1812,2;153474;806297;0,190344
